Robot,Delta_muestra,Input_d,d_ref,vel_ref,Input_vel,Input_theta,Output_d,Output_vel,Output_theta,curv,vel_crucero,curv_pred,control
L,0.07662725448608398,-4.0,10,30,10.242422178522805,0.003101782171171902,0,164.42985383639854,21.516040125832692,0,15.0,0.0,0
L,0.07741880416870117,-4.0,10,30,9.989676610216982,-0.06783304178523111,0,166.737265849182,197.55561805851642,0,15.0,0.0,0
L,0.0776066780090332,-4.0,10,30,11.1021748562165,-0.022189081459385012,0,164.86636854218807,23.75322679524436,0.005368325428830575,15.0,0.0,0
L,0.0771949291229248,-4.0,10,30,10.177864851984427,0.0024207645201337596,0,169.16946687270038,-10.146778176132763,0.005368325428830575,15.0,0.0,0
L,0.07797861099243164,-4.0,10,30,11.62444414829022,0.0043933218672905635,0,166.2626293053132,1.9767857356699716,0.005368325428830575,15.0,0.0,0
L,0.07860922813415527,-4.0,10,30,10.844786442810612,-0.002412136106521918,0,170.10737897422757,23.15313862897846,0.005368325428830575,15.0,0.0,0
L,0.07778596878051758,-4.0,10,30,10.26959226025805,-0.007788361278488845,0,173.36771040235573,35.58434324163798,0.005368325428830575,15.0,0.0,0
L,0.07626676559448242,-4.0,10,30,10.462139768199949,-0.009888935053319428,0,174.28015728504647,40.68498788055707,0.005368325428830575,15.0,0.0,0
L,0.07625889778137207,-4.0,10,30,10.799166588286692,-0.010269082565099147,0,174.73331121724726,43.615823444614975,0.005368325428830575,15.0,0.0,0
L,0.07642173767089844,-4.0,10,30,11.800892608339248,-0.008293955033400925,0,173.11894056801958,40.668037804111755,0.005368325428830575,15.0,0.0,0
L,0.07613277435302734,-4.0,10,30,13.013185789974756,-0.010134200398235841,0,170.7753143163417,50.821477744616736,0.005368325428830575,15.0,0.0,0
L,0.07898306846618652,-4.0,10,30,12.18735055976779,-0.01766368270943869,0,174.65971771726464,76.42806420753189,0.005368325428830575,15.0,0.0,0
L,0.07861089706420898,-4.0,10,30,11.02903439440484,-0.06775918955741747,0,179.62599083778358,233.10454985807027,0.005368325428830575,15.0,0.0,0
